Fecha,canal_distribucion,chainStore,region_dsc,codeStore,tienda_dsc,categoria,mg,idProduct,upc,descripcion_producto,tipo_alerta,inventario_unidades,oportunidad_valor
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Lac Culinarios,Condensada,4357,07506475104470,LA LECHERA LCA Bolsa 12x670g N1 MX,Ajuste de inventario,-3,1
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Purina,Beneful,21391,07501072215642,BENEFUL ADULT Triple Protn 10kg MX,Inventario sin venta,3,211.94194
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Especialidades,21571,07501058655479,NAN CONFORT Total3 HMO FI Lata 6x1.5kgMX,Inventario sin venta,8,742.86206
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Papillas 2A,4242,07501000912872,GERBER 2AET Sopa Pollo 12x113g MX,Inventario sin venta,50,15.086204
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Papillas 2A,1487,07501000904228,GERBER 2AET Pre VerdsConPllYArz24x113gMX,Inventario sin venta,14,27.062897
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Purina,Cat Chow,1659,07501072214041,CAT CHOW Adulto Carne DP 6x1.5kg N1 MX,Inventario sin venta,18,235.23703
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,Dog Chow,3081,07501072202734,DOG CHOW Adt Med Large 6x4kg MX,Inventario sin venta,98,3134.1562
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Nido Fortificada,Nido Fortificada Deslac,2856,07501058638175,NIDO Fort Deslactosada 24x460g MX,Inventario sin venta,19,190.65517
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Formulas Inf,Nan Supreme,4403,07613287067111,NAN 1 SUPREME 5HMO 6x800g MX,Inventario sin venta,11,658.24133
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Nan 4,4278,07501058630650,NAN 4 OPTIPROHMOFormulaInfantil12x800gMX,Inventario agotado,0,372.41382
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Purina,Campeon,1616,07501072202338,CAMPEON Cachorro TodoTamañoCarne12x2kgMX,Inventario sin venta,149,2643.8687
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Especialidades,21571,07501058655479,NAN CONFORT Total3 HMO FI Lata 6x1.5kgMX,Inventario sin venta,4,35.58621
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Portion,Starbucks by Nespresso,4396,07613036961745,SBUX PIKE PLACE RST SRP PCC 12x53g B1,Inventario sin venta,16,434.77243
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Alim. Infantiles,Cereales,53621,07891000370261,GERBER TODDLER 28x25g MX,Inventario agotado,0,185.3793
2024-04-01,null,Walmart,Valle de Mexico,WALMEX3846,SC BUENAVISTA,Lac Culinarios,Untables,49173,07506475112093,LA LECHERA Dulce De Leche Bolsa20x209gMX,Inventario agotado,0,9.308274
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Snacks,4381,07613036550680,GERBER Galleta Bebe 12(5x14g) XW,Inventario agotado,0,156.4138
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Alim. Infantiles,Snacks,4268,07501058626226,GERBERETJNRCrlaInfladoMoraAzulCnj6x42gMX,Inventario sin venta,10,41.27586
2024-04-01,null,Walmart,Occidente,WALMEX3889,BA SAN JUAN DEL RIO,Formulas Inf,Especialidades,4427,07501058625458,NAN FI Deslact WLReuteri MP6(2x400g)MX,Inventario sin venta,8,663.2242
